Категория;Анекдот
Вовочка;Вовочка самым злостным образом прогуливал школу. Его учительнице сие безобразие надоело, и она решила проведать родителей и, заодно, питомца. Приходит по адресу - там хоромы немеряные, от ворот до входа ковры простелены. Стучит в дверь... Открывает швейцар, вежливый до неприличия. За ним просматриваются мраморные лестницы, картины в подлинниках. Училка, смущенная, тихо спрашивает: - А В-в-вовочка д-дома? Швейцар ведет ее по дому к Вовочкиной двери. Стучит: - Вольдемар! К Вам дама! - ПИЗДИШЬ! Характерным жестом поправляя бабочку: - БЛЯ буду-с!
Вовочка;- Здраствуйте, я мать Сидорова Вовы, вы меня вызывали? - Здраствуйте, любезнейшая Ольга Петровна, присаживайтесь, милости прошу. Ваш сын в последнее время, как бы это поточнее выразиться,.. какой-то лоханутый стал, тормозной. На уроках за базар не отвечает, гонит что-то, исполняет иногда, а временами вообще ни о чем, вы извините меня ради бога!..
Вовочка;Вовочка утром идет в спальню к родителям, но дерь заперта. Вовочка смотрит в замочную скважину, там родители занимаются любовью. С угрюмым видом он возвращается к себе: - И эти люди!!! И эти люди запрещают мне ковыряться в носу!!!
Вовочка;"Марья Ивановна раздала анкеты. Вовочка честно написал: ""Отец - инженер, мать - проститутка"". Марья Ивановна вызвала в школу отца Вовочки. ""Все верно,""- сказал отец. Марья Ивановна расплакалась и побежала к директору школы. ""Мамы всякие нужны, мамы всякие важны.""- процитировал директор и записал Вовин адрес в записную книжку."
Вовочка;- Ты почему мне грубишь, Вовочка? Я тебе отец или не отец? - Ну ты задаешь ребусы, старик! Я то откуда знаю?
Вовочка;- Не забывай, сынок, мы живем на этой земле, чтобы трудиться. Кем ты хочешь стать, когда вырастешь? - Летчиком.
Вовочка;Вовочка: - Мама, иди в кабинет, я уронил большую стремянку. - Ну, папа тебе задаст, когда узнает. - Папа уже знает, он висит на люстре.
Вовочка;- Почему ты плачешь, Вовочка? - Мама сказала папе, что он слон. Папа ответил маме, что она курица. - Ну и что? - А кто же тогда я?!
Вовочка;- Папа, почему, если дунуть на пламя свечки, то она гаснет? - Гм... потому... м-м. Да-а... Потому... не дуй, дурак, вот и не гаснет.
Вовочка;Отец говорит Вовочке: - Я вчера нашел на улице 200 т.рублей и отнес их в милицию. А что бы сделал на моем месте ты? - То же, что и ты. Соврал.
Вовочка;На урок зоологии учительница принесла арбуз. - Что это такое, дети? - Это же арбуз, Марь Иванна! - выкрикивает Вовочка. - Нет, это мичуринское яблоко. - с ехидной улыбкой произносит учительница. На следыющей день учительница приносит дыню. - Дети! Что это? - Дыня - Неправильно! Это мичуринская слива. На третий день Вовочка приносит полный портфель раков и, высыпав на стол учительнице, спрашивает: - Марь Иванна, а это что такое? - Как что? Конечно же раки! - Нет, Марь Иванна, неправильно! Это мичуринские ТАРАКАНЫ!
